title,year,rated,runtime,genre,director,writer,actors,plot,language,country,awards,imdb_rating,imdb_votes,imdb_id,metascore
Padre,2015,N/A,5 min,"Short, Thriller",Ozcar Burfitt,Ozcar Burfitt,"Marek Dobes, Michal Skácel",A short film about a very graphic and violent confession in a confessional.,Czech,Czech Republic,N/A,N/A,N/A,tt5066108,N/A
Free Range Parents,2015,TV-PG,22 min,Comedy,Victor Gonzalez,"Jack Burditt, Ed Yeager, Gracie Charters","Tim Allen, Nancy Travis, Molly Ephraim","Mike wants Boyd to walk home from school on his own, but Ryan's hesitant to allow this. Meanwhile, Ed and Kyle host a meeting for folks preparing for doomsday; and Eve and Mandy try to keep Vanessa in the dark about something.",English,N/A,N/A,N/A,280,tt5066116,N/A
Episode #1.7,2015,N/A,60 min,"Crime, Mystery",Jirí Strach,Petr Hudský,"Jirí Langmajer, Miroslav Donutil, Michal Dalecký",N/A,N/A,N/A,N/A,N/A,10,tt5066124,N/A
Get in There and Think Like a Dog,2015,TV-PG,44 min,"Adventure, Family, Reality-TV",Bertram van Munster,"Elise Doganieri, Bertram van Munster","Phil Keoghan, Tanner Kloven, Josh Ahern","Teams travel to the birthplace of Pope Francis, where they visit the church where he was baptized. Also, Racers are driven up a wall when they learn a tango with a twist.",English,United States,N/A,N/A,67,tt5066140,N/A
Children of the Prophet,2015,TV-PG,42 min,Documentary,Erin Lovett,N/A,Lisa Ling,"A look into the FLDS church, headed by Warren Jeffs, and those who have escaped or been removed from the community in Colorado Springs.",N/A,N/A,N/A,N/A,14,tt5066146,N/A
Inside Mongol Nation,2015,TV-PG,42 min,Documentary,N/A,N/A,Lisa Ling,A look at life as a Mongol.,N/A,N/A,N/A,8.0,13,tt5066148,N/A
Fatherless Towns,2015,TV-PG,42 min,Documentary,N/A,N/A,Lisa Ling,"In the Richmond City jail, thirteen inmates are preparing for an unprecedented event - the ""Date with Dad"" father/daughter dance.",N/A,N/A,N/A,N/A,10,tt5066150,N/A
Faces That Sell,2015,TV-PG,42 min,Documentary,N/A,N/A,Lisa Ling,"The fashion world is a competitive one, with thousands of young, idealistic girls vying to become the next top model-but even if they're discovered, many soon find out that it's not always glitz and glamour.",N/A,N/A,N/A,N/A,8,tt5066158,N/A
Electronic Woodstock,2015,TV-PG,42 min,Documentary,Geoffrey O'Connor,N/A,Lisa Ling,"Lisa relives her life as a 1990s raver, by embedding with a new generation of electronic music fans at a festival called Mysteryland.",N/A,N/A,N/A,N/A,11,tt5066160,N/A
America's Busiest Coroners,2015,TV-PG,42 min,Documentary,N/A,N/A,Lisa Ling,"Death. It comes knocking for all of us at some point and for the dedicated men and women at the LA County Coroner's Office, it's business as usual.",N/A,N/A,N/A,N/A,14,tt5066162,N/A
The Seduction Game,2015,TV-PG,42 min,Documentary,Courtney Thompson Hutchens,N/A,Lisa Ling,A virgin attends a dating boot camp to improve his romantic prospects.,N/A,N/A,N/A,7.4,7,tt5066164,N/A
The Satanists Next Door,2015,TV-PG,42 min,Documentary,Erin Lovett,N/A,"Jex Blackmore, Shiva Honey, Lisa Ling","Not really what you're thinking. This group of individuals don't worship satan as a god, all being, but more as an angel to look up too because of his decisions. Thery don't sacrifice animals, drink blood, or participate in those ...",N/A,N/A,N/A,N/A,18,tt5066166,N/A
Atilmisligin Anilari... Anlami,2015,N/A,61 min,Mystery,Kerem Duymus,Kerem Duymus,N/A,N/A,Turkish,Turkey,N/A,N/A,7,tt5066168,N/A
Nepal - maanjäristyksen selviytyjät,2015,N/A,60 min,Reality-TV,Tuukka Tiensuu,"Arman Alizad, Tuukka Tiensuu","Arman Alizad, Tuukka Tiensuu",N/A,"Finnish, English, Nepali",Finland,N/A,N/A,N/A,tt5066186,N/A
L'Agent,2013,N/A,6 min,Short,Penélope Cruz,Penélope Cruz,"Miguel Ángel Silvestre, Irina Shayk, Javier Bardem, Arbile Elorza",A man walks through a house filled with beautiful women.,Spanish,Spain,N/A,5.8,34,tt5066196,N/A
Elliott Morgan: Premature,2015,Not Rated,61 min,Comedy,Ryan Polito,N/A,Elliott Morgan,"Experience the world through the eyes of a white privileged male. Part saucy banter, part whiskey-buzzed self-degradation, this lovable boy-child touches on topics from the creation of the world to goatse.",English,United States,N/A,7.7,17,tt5066198,N/A
Overstay Your Welcome,2015,TV-14,43 min,"History, Horror, Mystery",N/A,Joe Escalante,"Todd Robbins, Kimberly Alexander, Kevin Scott Allen",A doctor's devotion to a patient has unexpected consequences; a series of disappearances are linked to an unusual residence; and a movie star shows just how unconditional love can be.,N/A,N/A,N/A,N/A,14,tt5066208,N/A
The Jellies,2015,N/A,10 min,Comedy,N/A,"Lionel Boyce, Tyler the Creator","Brock Baker, Kevin Michael Richardson, A.J. Johnson",Cornell is adopted by a family of foul-mouthed jellyfish.,English,United States,N/A,7.3,84,tt5066212,N/A
Zombie Broheims,2015,TV-Y7,22 min,"Animation, Short, Action",Ian Graham,"Justin Charlebois, David Sacks, Merriwether Williams","Matt Jones, Candi Milo, Tom Wilson",Banana makes Pig his substitute Scoutmaster for the day. Banana joins a herd of zombies. Goat wants to be Customer of the Day at the Smoothie shop. Cricket awaits the best cookie in the world from being ready in his lab.,N/A,N/A,N/A,N/A,7,tt5066216,N/A
À l'école du trottoir,1982,N/A,N/A,Adult,Michel Ricaud,N/A,"Ghislain Garet, Mascha Mouton, Tanya Valis, Claudia von Stadt",N/A,N/A,France,N/A,N/A,N/A,tt5066222,N/A
Adam Ruins Giving,2015,TV-14,22 min,"Documentary, Comedy, History",Paul Briganti,N/A,"Adam Conover, Arlington Randolph, Emily Axford","Host Adam Conover dispels widespread misconceptions about everything. In the series premiere, Adam tackles the secret history of diamond engagement rings and explains why you should stop giving food pantries leftover canned goods.",English,United States,N/A,N/A,282,tt5066264,N/A
La fanfare,2015,N/A,N/A,Comedy,N/A,N/A,"François Dupont, Xavier Soquet",N/A,N/A,N/A,N/A,N/A,N/A,tt5066280,N/A
"Vertrauen ist gut, Kontrolle ist besser",2015,N/A,44 min,"Comedy, Crime",Gunter Krää,Thomas Baum,"Joseph Hannesschläger, Igor Jeftic, Marisa Burger","Popular GP Torsten Rathuber is murdered by saw-sabotaging his composite paddle on his aquatic sports club's latest kayak exploit. Hansen being booked for a police seminar, Korbinian Hofer must investigate partnered with delighted ...",German,Germany,N/A,N/A,8,tt5066308,N/A
DJ Twins,2016,TV-MA,25 min,"Comedy, Drama",Jonathan Krisel,"Jonathan Krisel, Louis C.K., Zach Galifianakis","Zach Galifianakis, Martha Kelly, Louie Anderson","Eddie gives Chip a great opportunity to be in the running for Mr. Rodeo, the top rodeo clown in the country. Family dinner and a visit from his adopted DJ twin brothers could ruin his chances.",English,United States,N/A,7.6,329,tt5066336,N/A
Cowboys,2016,TV-MA,25 min,"Comedy, Drama",Jonathan Krisel,"Graham Wagner, Louis C.K., Zach Galifianakis","Zach Galifianakis, Martha Kelly, Louie Anderson",Eddie forces Chip and Martha on a little road trip to settle some unfinished business; the cowboy way.,N/A,N/A,N/A,7.6,324,tt5066340,N/A
Sugar Pie,2016,TV-MA,24 min,"Comedy, Drama",Jonathan Krisel,"Jonathan Krisel, Louis C.K., Zach Galifianakis","Zach Galifianakis, Martha Kelly, Louie Anderson","Chip must manage a medical emergency, while Dale blurs the line between chaperone and coach at his daughters volleyball game.",N/A,N/A,N/A,N/A,298,tt5066342,N/A
Ditch,2015,N/A,N/A,"Short, Thriller","Jeffrey S. Gould, Jerry Janda",Jerry Janda,"Mary Bonczek, Russell Hackett, Christin Vivona",N/A,English,USA,N/A,N/A,N/A,tt5066400,N/A
