title,year,rated,runtime,genre,director,writer,actors,plot,language,country,awards,imdb_rating,imdb_votes,imdb_id,metascore
Consent,2017,N/A,88 min,"Drama, Mystery, Thriller",Herman Ming Chen,"Herman Ming Chen, Carrie Wong","Sarah Stouffer, Jack Sochet, Christian Zuber",A young woman encounters a stranger online who reveals the whereabouts of her missing sister.,English,United States,N/A,5.8,44,tt5068972,N/A
St. Marysile Kolapathakam,2015,N/A,N/A,"Crime, Mystery",H.N. Shijoy,H.N. Shijoy,"Sudheer Karamana, Aparna Nair, Sreejith Vijay","Pooja (Aparna Nair) and Meera (Anju Raj) are colleagues in a textile shop in the town. They are from different walks of life and become friends after started working in the shop. Pooja and Meera stay at St Mary's Working Women's Hostel. One day when they reach the hostel after work, they are welcomed with the shocking news of a murder. One of the inmates who is missing found killed. Events get complicated with the arrival of the police officer Solomon, the investigating officer. Both Pooja and Meera are under suspicion in connection with the murder. The investigation that follows and the truths that are unraveled form the rest of the story of 'St Marysile Kolapathakam'.",Malayalam,India,N/A,5.2,12,tt5068976,N/A
Romancing Brazil,2021,N/A,90 min,"Drama, Family, Romance",Lucas Amberg,"Lucas Amberg, Andrew Deutsch","Antonio Abujamra, Taís Araújo, Fábio Azevedo","Mardo, a Jewish teen, falls in love for Ana, a non Jewish Black Girl, who is a freshman in college and a political activist in Brazil turbulent sixties. They discover love and pain. They live romantically and dangerously because they believe that only true love, which brought them together, can overcome all barriers.",English,Brazil,N/A,2.8,15,tt5068978,N/A
Anthropocene,2015,N/A,93 min,Documentary,Steve Bradshaw,N/A,N/A,"You've heard of the Jurassic, Cambrian, Pleistocene, Holocene. Now a group of world-renowned scholars is debating whether to declare a new geological epoch - the Anthropocene. Mankind has so changed Earth, they state, that we've created our own geological layer. In our film, key members of the group, for the first time on camera, tell the story of the Anthropocene - from the Time of Fire to today's Great Acceleration and beyond. And ask... ... how will our story end? And should it make us laugh or cry?",English,"United Kingdom, Kenya, Norway, Switzerland",1 nomination,6.6,11,tt5068980,N/A
The American Jungle,2016,N/A,102 min,"Documentary, History, Music",Joshua Freeman,"Jeremy Ballard, Casey Bonse, Joshua Freeman","Jamal Abdo, Paul Allen, Ray Alston",The American Jungle - Providing an In-Depth and Personal Look into the North American Drum &amp; Bass / Jungle Culture.,English,United States,N/A,N/A,7,tt5068996,N/A
People That Are Not Me,2016,N/A,80 min,"Drama, Romance",Hadas Ben Aroya,Hadas Ben Aroya,"Hadas Ben Aroya, Yonatan Bar-Or, Netser Charitt","Joy is a young woman living in Tel Aviv. She has a love-hate relationship with its casual sex scene. Her whole world is her apartment and the street where it's located. The same street in which her ex lives, the one who refuses to get in touch with her. Joy tried desperately to get him back and will not let him go. That, until she runs into Nir, a chatty intellectual type, who says and does whatever he wants. Nir inspires Joy. In her attempt to be free, like him, she will be cruel to others and develop an obsessive hunger for touch. The movie deals with urban loneliness within the Y generation. The young people of Tel Aviv who yearn for intimacy and are also terrified by it; who talk endlessly, but never say anything authentic.",Hebrew,Israel,3 wins & 2 nominations total,6.3,423,tt5069012,N/A
Santa Fiesta,2016,N/A,75 min,Documentary,Miguel Ángel Rolland,N/A,N/A,"Every year in Spain, some 16,000 Fiestas are organized, during which animals are used. Honoring the Holy Virgin and the Patron Saints, and with the blessing of religious and political authorities, entire towns -including children- are involved in celebrations of unbelievable cruelty. 60,000 animals are hence abused each year during these ""Fiestas of Blood"". Toros Embolados (bulls with two burning pikes soaked with fuel tied to their horns), stabbed, tied, pierced with darts or thrown into the water. Abused pigeons, rats, pigs, geese, horses and even ants. The barbaric tradition is varied and extends throughout the Spanish geography. People dance, drink, laugh. The life of the people and the death of the animals is celebrated, with the silent complicity of priests, amongst prayers and mystical processions. Santa Fiesta is a feature documentary that makes us eyewitnesses of a cocktail of celebration, blood and faith rooted in the Spanish soul. A journey of images, sounds, colors and emotions during which we experience firsthand the Holy Fiesta.",Spanish,Spain,N/A,8.6,34,tt5069028,N/A
Shadowgram,2017,N/A,94 min,Documentary,Augusto Contento,N/A,N/A,Discovering the Black Chicago from inside.,English,"France, United States",N/A,8.7,9,tt5069032,N/A
Candyflip,2017,N/A,105 min,"Fantasy, Mystery, Thriller",Shanawaz Nellikunnil,"Ananyabrata Chakravorty, Shanawaz Nellikunnil, Valeriya Polyanychko","Prakash Raj, Kalki Koechlin, Gulshan Devaiah","Every year, Goa, one of the biggest party and holiday hosts to the world, welcomes infinite number of tourists. Most of them go back once the season gets over. Few choose to stay back, digging deeper into the traces of a hippie hangover, or trying to search oneself through the incandescent, colorful, trippy shores of Goa. And a few yet, get in so deep at the wrong end of paradise, that they are lost forever, in the same place, but in a whole different world altogether. The film takes one such real-life character - Roy - through a plethora of happenings, phenomena, legends, myths, sights, sounds, experiences and thrilling stories of the fabled Goan paradise. What happens to the protagonist through the bitter-sweet, darkly funny, crazy, trippy journey and what comes along at the end of it, weaves the half-fictitious/half-real story of our film - CandyFlip.",English,India,N/A,5.1,126,tt5069058,N/A
Al Di Qua,2016,N/A,80 min,"Documentary, Drama",Corrado Franco,Corrado Franco,Rodolfo Spagone,"'Al di qua' (Life/Here) is a poetic and authorial low budget docu-film of social protest, shot with a visionary and rigorous style, on the humanitarian tragedy of universal poverty and homelessness, dramatically increased because of the economic and social crisis of the last few years. A docu-film shot in poverty about poverty. Verses from 'The Book of Hours' - 'The Book of poverty and death' by Rainer Maria Rilke. MUSIC from 'Passion According to St. Matthew' ('Matthäus-Passion BWV 244') and 'Passion according to John (' Johannes-Passion BWV 245 ') by Johann Sebastian Bach. DO NOT MISS SCENES: entrance of the the group of homeless in the hospital at the beginning of the film, and above all, the group of homeless marching in the hospital corridors. The ending scene (the miracles) with visual effects. POPE FRANCESCO. We are currently trying to arrange a viewing of the film to His Holiness Pope Francesco. FILM. All the film voices have been slowed down. Duration: 79'. B&amp;W and color. CORRADO FRANCO, winner of a GLOBO D'ORO (golden globe) and a NASTRO D'ARGENTO (silver ribbon) AWARD, 2001 BEST ITALIAN SHORT FILM, returns behind the camera after a ten year hiatus. Corrado during this time looked after his severely ill mother affected by Parkinson's disease, Gigliola Carusi Franco: teacher, theater director and poet, passed away in 2013.",Italian,Italy,N/A,N/A,8,tt5069064,N/A
Get the Weed,2017,N/A,75 min,Comedy,"Denny Brechner, Alfonso Guerrero, Marcos Hecht","Denny Brechner, Alfonso Guerrero, Marcos Hecht","Denny Brechner, Talma Friedler, Pepe Mujica",A fake Uruguayan Chamber of Legal Marijuana travels to the United States to find 50 tons of cannabis to supply the country. President Jose Mujica is the leader of the mission.,English,"Uruguay, United States",2 wins & 1 nomination,8.6,47,tt5069072,N/A
A Billion Lives,2016,N/A,95 min,Documentary,Aaron Biebert,N/A,"David Goerlitz, Clive Bates, Attila Danko",The story of the vaping revolution and tragic corruption leading to a billion deaths around the world.,English,"United States, Belgium, Canada, France, Ireland, Mexico, Peru, Poland, Turkey, United Kingdom",N/A,7.9,"2,862",tt5069074,35
Pervs,2017,N/A,52 min,"Documentary, Comedy",Felicia Michaels,N/A,Tamer Kattan,"Perv is an exercise in exhibition, visionary voyeurism, and the exploration of deviance. As some of America's most popular comedians are interviewed by a comedienne (who's a sex worker on the side) in an attempt to out the little 'perv' in all of us, all the while giving them a peepshow they'll never forget in the process.",English,United States,N/A,6.6,25,tt5069078,N/A
Altered Hours,2016,TV-MA,101 min,"Sci-Fi, Thriller",Bruce Wemple,"Mike Ladue, Bruce Wemple","Ryan Munzert, Briana Pozner, Rick Montgomery Jr.","A young insomniac's black-market sleep aid sends his mind time-travelling one day into the future, where he's the suspect in the disappearance of a girl he hasn't met -- yet.",English,United States,1 win,4.7,595,tt5069086,N/A
The Killer Robots! Crash and Burn,2016,Not Rated,100 min,"Action, Adventure, Comedy",Sam Gaffin,Sam Gaffin,"Sam Gaffin, Mike McGowan, Samuel Williams","Four fallen robot gladiators are rescued from the scrap pile, turned into an elite group of mercenaries and sent on a mission to bring about a new age of enlightenment in a post-apocalyptic universe.",English,United States,N/A,3.8,209,tt5069090,N/A
Yasuni Man,2017,N/A,94 min,"Documentary, Adventure, Drama",Ryan Killackey,Ryan Killackey,"Otobo Baihua, Ryan Killackey","Yasuni Man is a film about a conflict raging deep within the Ecuadorian Amazon. It's a real-life Avatar story. Once under siege by missionaries seeking to civilize them, the Waorani people battle industry operatives and their own government in a fight to survive. Join filmmaker Ryan Patrick Killackey and his native friend Otobo as they embark on an expedition into the most bio-diverse forest on Earth. Witness what may be lost as oil companies encroach, human rights violations run rampant, and a forest Eden is destroyed - all for the oil that lies beneath Yasuni.","English, Spanish","Ecuador, United States, Spain",6 wins & 2 nominations,8.0,147,tt5069092,N/A
The Cult,2015,N/A,70 min,Sci-Fi,André Antônio,André Antônio,"Sócrates Alexandre, Caio Alves, Felipe Araújo","2040 was an important year to me for two reasons. First, it was when I decided to leave the Space Colonies and move back to Recife. Second, it was in 2040 I found out about The Cult.",Portuguese,Brazil,N/A,6.0,108,tt5069098,N/A
Viral Beauty,2018,N/A,90 min,"Comedy, Romance",David Tyson Lam,Elizabeth Lam,"Casey Killoran, Perez Hilton, Mark Junek","After posting a brash dating ad online, Marsha Day is thrown into the limelight when Perez Hilton shares the video with his legion of followers. Becoming a viral hit, Marsha is scooped up by a talent manager who creates a hit online channel based on Marsha's life and shenanigans. But as Marsha gains fame and fortune, she is forced to wrestle with her sense of identity in a celebrity-obsessed world. Things become hotter and more complicated when she's wooed by a handsome fitness entrepreneur who challenges her ideas of a fairy tale romance. Starring real Youtubers and innovatively told, Viral Beauty is an innovative tech-comedy not to be missed.",English,"United States, Canada",4 wins & 2 nominations,6.5,143,tt5069110,N/A
Can't Be Stopped,2022,N/A,102 min,Documentary,Cody Smith,N/A,"2Mex, Marc 7, Alchemist","Hollywood's own ""Can't Be Stopped"" crew is one of the most influential and recognizable graffiti crews to emerge out of the U.S. is Since its inception in the early 1980's, the initials C.B.S. have been at the forefront of evolving graffiti art into a true, authentic art form. The kinship forged by father figure ""Skate"" creates a bond of brotherhood, a surrogate family protecting these artists from the temptations of the Hollywood streets, imprinting upon them an unrivaled standard of morality, respect and integrity in graffiti. Skate's tutelage becomes their lore and mantra, the driving force as these boys come of age, many from broken homes, into their ultimate success and prosperity. Unbeknownst to these young artists, they were shaping the medium and ultimately became pioneers. Their notoriety and acclaim was a transcending factor that evolved this contemporary art form, transcending the stigmas attached to this subculture.",English,United States,N/A,N/A,56,tt5069122,N/A
Naturi Naughton & King Bach,2015,TV-PG,19 min,"Comedy, Reality-TV",N/A,N/A,"Andrew Bachelor, Michael Felix, Ron G.",Naturi Naughton thinks she's going to take an innocent ride to an event when she ends up in the middle of a situation she never bargained for.,N/A,N/A,N/A,N/A,N/A,tt5069124,N/A
12 mogil Khodzhi Nasreddina,1967,N/A,74 min,"Family, Fantasy","Klimenti Mints, Yuri Kharlamov, Konstantin Starostin","Fayzullo Ansori, Nasriddin Islamov, Klimenti Mints","Bashir Safaroghlu, Stalina Azamatova, Nozukmo Shomansurova",N/A,Russian,Soviet Union,N/A,5.4,15,tt5069134,N/A
Jackson,2016,Not Rated,92 min,Documentary,Maisie Crow,N/A,"Barbara Beavers, Shannon Brewer, April Jackson","With a single abortion clinic remaining in the state of Mississippi, the city of Jackson has become ground zero in the nation's battle over reproductive health-care. Jackson is an intimate portrait of the interwoven lives of three women in this town. Wrought with the racial and religious undertones of the Deep South, the lives of two women are deeply affected by the director of the local pro-life crisis pregnancy center and the movement she represents.",English,United States,22 wins & 2 nominations,7.5,168,tt5069136,N/A
Hrysi Avgi: Prosopiki ypothesi,2016,N/A,90 min,Documentary,Angélique Kourounis,"Thomas Iacobi, Angélique Kourounis","Alexia Eastwood, Angélique Kourounis","The financial collapse, the political instability and the family relations are placed into the spotlight as the documentary is trying to discover ""what's in the head of GoldenDawners, who pose as victims"" of the system. Golden Dawn ""never hid"" its ideology. Its influence in the polls might have been almost nonexistent previously, but the compatibility of this ideology with unshakable beliefs in Greece - cultivated by many clergymen and most of the Media but also by family and political system - is the fertile ground on which the organization flourishes. The director is looking into the matter from a personal viewpoint, having dedicated many years and another two television productions in approaching the neo-Nazi party, which has taken the third position in Greece's political system after three decades of obscure but bloody activity.","Greek, English, French","Greece, France",1 win & 1 nomination,8.3,220,tt5069138,N/A
Mango Dreams,2016,N/A,92 min,"Adventure, Drama",John Upchurch,"Mazahir Rahim, Hamza Rahim, John Upchurch","Ram Gopal Bajaj, Pankaj Tripathi, Sameer Kochhar","As a child, Dr. Amit Singh survived the British partition of India. Since then, he has been running forward his whole life, running from the horrors of his past - his family murdered by Muslims and the personal guilt he feels for the death of his younger brother. Now, with the onset of dementia, Amit needs to go back, to confront the memories he has been trying to forget before dementia robs him of his chance to make peace with the past. But, before Amit can begin his journey, his son Abhi arrives from America, ready to commit his father to an old age home. Father and son fight. Amit runs from his son and soon meets Salim, a Muslim auto rickshaw driver. Salim's wife was raped and burned to death by Hindu rioters in Gujarat. At first, Amit and Salim make uneasy travel companions -- Amit's family murdered by Muslims, Salim's family murdered by Hindus. But, a journey of a thousand miles, stuffed in an auto rickshaw together, has a way of breaking down walls. On their journey, Amit and Salim forge an unforgettable friendship and help each other find the peace they both have been longing for.",English,United States,12 wins,7.4,489,tt5069158,N/A
Fingerprints,2016,N/A,22 min,Drama,Jimmy Smallhorne,Siobhan Duffy,"Mary Murray, John Connors, David Murray, Steve Hartland",A teacher tries to connect with a troubled boy.,English,Ireland,N/A,8.4,8,tt5069166,N/A
Dead Hands Dig Deep,2016,N/A,75 min,"Documentary, Music",Jai Love,"Spencer T. Heath, Jai Love","Rikk Agnew, Edwin Borsheim","While living in complete isolation in the desert of southern California, a long forgotten shock-rock musician reflects on his dark past of drug abuse, violence, and self destruction.",English,"Australia, United States",N/A,7.5,111,tt5069188,N/A
Gear,2017,N/A,92 min,"Crime, Drama",Ant Horasanli,"Ant Horasanli, Ezra Sholeh","Daley Blake Smith, Nicola Posener, Gregory Hlady",A drug runner must prove his loyalty by taking on an unexpected assignment.,English,Canada,N/A,4.5,139,tt5069194,N/A
Visitors from the Unknown,1991,N/A,47 min,"Biography, Sci-Fi",Penelope Spheeris,"Michael Grais, Mark Victor","James Earl Jones, Karl Bakke, Stephen Held","A special reenacting the experiences of people who have had documented encounters with extraterrestrial life forces. A British policeman has a close encounter with a UFO, a wood-cutter spots a spacecraft and is abducted, and a civil rights leader and his son come face-to-face with alien beings.",English,United States,N/A,6.8,50,tt5069196,N/A
Añoranza,2016,N/A,70 min,Documentary,Flo Flamme,Flo Flamme,N/A,"On a Caribbean island, half a century ago, a revolution created a new frontier beyond which, little by little, the outside world became vaporous, invisible, forbidden. Now, three old men, Luis, Carmelo, and Ernesto, let their imaginations wander. All around them busses full of tourists, ambassadors of a never-never land, come and go, triggering in the old men a deep longing for vanished ideals; love, time and the places they have never seen.",Spanish,"Belgium, Cuba",N/A,N/A,20,tt5069346,N/A
Variaciones Walsh,2015,N/A,N/A,Drama,N/A,N/A,"Darío Grandinetti, Jorge Marrale, Heinz K. Krattiger",N/A,Spanish,Argentina,N/A,N/A,10,tt5069390,N/A
A Beautiful Mistake,2010,N/A,110 min,Drama,"Wei Hao, Huizhou Lu","Wei Hao, Huizhou Lu, Zhong Qiu Shi","Xuanrui Chen, Lu Zhou Wu, Liping You","A delightful and painful tale of losing the innocence of childhood in the People's Republic of China during the Cultural Revolution. When a young boy accidentally discovers a hole in his bedroom wall that looks into his neighbor's bath he tries to use it to his advantage, selling peeps to ""grandfather"". When they are caught spying on one of the young women, twins, events unravel and threaten to destroy so many lives.",Mandarin,"China, Hong Kong",N/A,6.1,44,tt5069450,N/A
Family Therapy with Dr. Jenn,2016,TV-14,N/A,Reality-TV,N/A,N/A,"Jenn Berman, Antonio Velaz, Bam Margera","Some of Hollywood's most embattled families take their feuds to VH1 on a reality series. Exes Dina and Michael Lohan are one of five families on the show's first season, hoping to work through their issues with therapist Dr. Jenn Mann, for the sake of their four children. Other families featured on the show include Damon Dash and his brothers Jeremy and Bobby Dash; Tiffany ""New York"" Pollard and her mother, Sister Patterson; Bam Margera and his mother April Margera; and Briana Dejesus and her sister Brittany Dejesus.",English,United States,N/A,6.6,81,tt5069478,N/A
Episode #1.4,2015,TV-PG,60 min,"Comedy, Musical",N/A,N/A,Neil Patrick Harris,N/A,English,USA,N/A,N/A,N/A,tt5069480,N/A
Jack Black,2015,N/A,42 min,"Comedy, Musical, Talk-Show",Glenn Weiss,"Paul Greenberg, Neil Patrick Harris, Mason Steinberg","Neil Patrick Harris, Jack Black, Nicole Scherzinger",Jack Black appears as the guest announcer.,English,N/A,N/A,N/A,32,tt5069490,N/A
First Kill,2014–,N/A,43 min,Crime,N/A,N/A,"Kris Mohandie, Allison Victoria-Wolfe, Mike McFarland","From the initial murders that sparked a desperate manhunt for a smart killer on the loose in New York City, to an elusive serial killer in Missouri that evaded law enforcement for 30 years, follow along as the detectives who were haunted by these unforgotten cold cases finally connect the dots.",English,United States,N/A,8.0,22,tt5069494,N/A
Impending Sale,2015,N/A,4 min,"Short, Comedy, Drama",Ray Nomoto Robison,Chance Larsen,"Twanissa Cox, Sig Dekany, Catherine Franklin, Pat Murphy Garfas",When their son brings home an unexpected guest it creates a difficult moment but it is the next unexpected guest that puts Mom over the edge.,English,USA,N/A,N/A,N/A,tt5069514,N/A
John Mulaney: The Comeback Kid,2015,TV-MA,62 min,Comedy,Rhys Thomas,John Mulaney,"Petunia, John Mulaney, Amanda Walsh","Armed with boyish charm and a sharp wit, the former SNL writer offers sly takes on marriage, his beef with babies and the time he met Bill Clinton.",English,United States,Nominated for 1 Primetime Emmy. 1 nomination total,7.9,"9,761",tt5069564,N/A
Killing Me Softly,2016,N/A,43 min,"Crime, Drama",Jason Fisher,N/A,"Tamara Daley, Henry Deleon, Charles DelGatto, Eric Doss","In Miami, teenager Christin Bilotti's romance with 19-year-old Richard Rojas takes a dark turn, and Rojas winds up being lured into a deadly trap at his ex-girlfriend's home.",N/A,N/A,N/A,N/A,N/A,tt5069590,N/A
Fir Bolg,2016–,N/A,N/A,Drama,N/A,N/A,"Sean McGinley, Don Wycherley, Peadar Cox","25 years after an acrimonious split, Ireland's greatest traditional band, Fir Bolg, decide to hit the road again.","Irish Gaelic, English",Ireland,1 win & 1 nomination,8.2,17,tt5069598,N/A
Nelo e Idália,2015–,N/A,N/A,"Comedy, Crime, Musical",N/A,Herman José,"Herman José, Maria Rueff, Rita Tristão da Silva","Victims of austerity, Nelo and Idalia move to the home of Idalia's mother in Mem Martins. Carla, the couple's eldest daughter, is self-proclaimed independent, but can not live without the help of her parents. Aidinha, the youngest daughter, dreams of becoming a popular singer. The boyfriend of Aidinha, Elias, is a ""lover boy"" and works as a DJ. The day-to-day life of the family is haunted by the presence of the landlady, Analia, a bitter and suspicious woman, who does everything to get them out of the house.",Portuguese,Portugal,1 win & 5 nominations,6.8,27,tt5069610,N/A
"Guatemala: Balls, Brains & Bull's Eyes",2015,TV-PG,43 min,Reality-TV,N/A,Thomas Lemmer,Andrew Zimmern,"Andrew visits Guatemala, where ancient flavors are still alive in the food today. From fresh bull testicle ceviche at the market to a Sunday dinner with possum as the main dish, Andrew tastes rich heritage in every bite!",N/A,N/A,N/A,N/A,10,tt5069614,N/A
Airport Donetsk,2015,N/A,37 min,"Documentary, War","Andrei Erastov, Shahida Tulaganova",N/A,N/A,The humans behind the battle of Donetsk Airport.,Russian,"Czech Republic, Ukraine",N/A,N/A,10,tt5069616,N/A
Ripples,2016,N/A,N/A,"Short, Horror",Marc Gilani,"Chris Corke, Marc Gilani","Jayson Therrien, Caroline Buzanko, Kiki Secord","Four friends find themselves crashed on the side of a country road, with no recollection of how the crash happened, all the while being terrorized by an unseen atmospheric apparition bent on their destruction.",English,Canada,N/A,N/A,7,tt5069622,N/A
Lasikatto,2015,N/A,9 min,"Short, Comedy",Iris Olsson,Sanna Stellan,"Sanna Stellan, Heikki Silvennoinen, Jussi Vatanen","Sari works in middle management for a multinational company, and a promotion is within her grasp. She just has to finish her last presentation, break the glass ceiling and make it to the conference room in time.",Finnish,Finland,N/A,5.4,36,tt5069628,N/A
Si Mario at si Goko,1995,N/A,N/A,"Comedy, Fantasy",Bibs Austria,Bibs Austria,"William Martinez, Isabel Granada, Rey 'PJ' Abellana",Loony William Martinez stars as your COMPU-WHACKO THRILL-SEEKER who entered into a series of hell-raising misadventures that will take the viewers to the outskirts of computer-generated fantasia. Isabel Granada also dished out an equally riveting comical thespian power as Martinez's lady love.,"Filipino, Tagalog",Philippines,N/A,5.0,17,tt5069646,N/A
Not Afraid,2015,TV-PG,6 min,"Short, Comedy, Fantasy",Spencer Maybee,Jordan Hall,"Elise Bauman, Annie Briggs, Kaitlyn Alexander","In the penultimate episode of the season, true alliances are revealed and one of the Scoobie Gang is killed.",N/A,N/A,N/A,N/A,23,tt5069650,N/A
5 Times & No Fun,2015,TV-14,42 min,"Documentary, Comedy, Drama",N/A,N/A,"Gugun Deep Singh, Eva Ceja, Lindsey Herrera, Jim Jepson",A sex-starved couple gets crazy in the kitchen and winds up painfully full; a doctor has a big mystery to solve when his patient arrives unconscious and oxygen-deprived; a couple's marathon love making session ends in emergency surgery.,N/A,N/A,N/A,5.2,5,tt5069668,N/A
JonTron's StarCade Episode 5: The Phantom Menace Games,2015,N/A,N/A,Comedy,"Jon Jafari, Steve Failows(co-director)",Jon Jafari (creator),Jon Jafari,"Jon takes a look at some games based on everybody's favorite Star Wars movie, ""The Phantom Menace.""",N/A,N/A,N/A,8.2,29,tt5069700,N/A
Too-Ra Taloo Rye-Eh,2015,N/A,N/A,Comedy,Paul Wheeler,"Dave Gorman, Sarah Morgan","Dave Gorman, The Billroth String Quartet","Unwanted gifts, twitter and twitter weirdos get Dave buzzing..",N/A,N/A,N/A,N/A,10,tt5069786,N/A
Overexposed,2015,N/A,N/A,"Short, Comedy",Mike Manning,Sarah Knapp,"Julia Black, Darin Brooks, Irving Green","The story about Cassandra, Tucker and the paparazzi that catalog their budding relationship for the world. Cassandra is an average-sized young woman who teaches middle school and tries to keep up with her best friends. An unexpected encounter with one of People Magazine's Sexiest Men Alive leaves her being pursued by a man society doesn't think she's beautiful enough to date, Tucker Bailey.",English,United States,N/A,N/A,10,tt5069810,N/A
Whatever Forever: Douwe Bob,2013,N/A,38 min,"Documentary, Short, Music","Linda Hakeboom, Rolf Hartogensis, Lex Uiting","Linda Hakeboom, Rolf Hartogensis, Kees Schaap","Douwe Bob Posthuma, Simon Posthuma, Ellen Benard",N/A,Dutch,Netherlands,N/A,7.3,13,tt5069844,N/A
Maniac 8.2.8,2015,N/A,15 min,"Short, Horror",Giorgos Efthimiou,Giorgos Efthimiou,"Dimitra Aggelou, Giorgos Efthimiou, Stavroula Kontopoulou","Maniac: a person afflicted with mania. Mania: A manifestation of bipolar disorder, characterized by profuse and rapidly changing ideas, exaggerated sexuality, gaiety, or irritability, decreased sleep and violent abnormal behavior.",Greek,Greece,1 win total,7.5,16,tt5069876,N/A
Indiana Johnson and the Nazi Granddaughters,2015,TV-14,21 min,"Animation, Action, Comedy","Sean Coyle, Jason Shwartz","Seth Meyers, David Parker, Michael Shoemaker","Ike Barinholtz, Bill Hader, Rashida Jones","The Awesomes help their old friend archaeologist Indiana Johnson, who hires them to track down his missing partner. Dr. Malocchio gets his memory back and heads back to earth to stop Mr Awesome.",N/A,N/A,N/A,N/A,19,tt5069878,N/A
Seattle or Bust,2015,TV-14,41 min,Reality-TV,N/A,Ashley Hulse,"Todd Gibel, Terra Jolé","After a fight with the girls, Briana takes Jasmine to Seattle to meet Matt. Christy and Todd struggle with intimacy as the IVF process puts pressure on their relationship. Brittney's dad, David, throws a ""Leaving the Nest"" BBQ for...",N/A,N/A,N/A,N/A,6,tt5069948,N/A
A Group Divided,2015,TV-14,41 min,Reality-TV,N/A,Ashley Hulse,"Todd Gibel, Terra Jolé, Cher Rue",Christy and Todd's anniversary party turns sour when Christy's mother learns of their pregnancy plans. Elena discloses the dirty details of her relationship with David to Preston and Tonya throws a graduation party for her daughter.,N/A,N/A,N/A,N/A,7,tt5069956,N/A
Love and War,2015,TV-14,41 min,Reality-TV,N/A,Ashley Hulse,"Todd Gibel, Terra Jolé","Love is in the air, and all the women are upping the ante on their relationships. Brittney gets her flirt on with a new hottie who has boyfriend potential and Briana takes her relationship with Matt to the next level. Tonya lays h...",N/A,N/A,N/A,N/A,6,tt5069958,N/A
Working Girls,2015,TV-14,41 min,Reality-TV,N/A,Ashley Hulse,"Todd Gibel, Terra Jolé","Briana gets a life-changing opportunity to sign with a music agent but when she's put to the test with music producing legend, Kerry Gordy, her vocal talent comes into question. Meanwhile, Christy is recruited to do a comedy music...",N/A,N/A,N/A,N/A,7,tt5069964,N/A
Friendship on the Rocks,2015,TV-14,41 min,Reality-TV,N/A,Ashley Hulse,"Todd Gibel, Terra Jolé","The girls gather at Jasmine's family's restaurant for Margarita Monday where Briana confronts Terra about how unkindly she treats her fiance , Matt. Terra is shocked and she and the girls decide that Briana's relationship with Matt is unhealthy.",N/A,N/A,N/A,N/A,6,tt5069970,N/A
"No Pain, No Gain",2015,TV-14,41 min,Reality-TV,N/A,Ashley Hulse,"Tonya Reneé Banks, Todd Gibel, Brittney Guzman","After a year of trying to make a baby, Christy and Todd undergo an artificial insemination procedure and receive their pregnancy test results! Elena starts planning a special event and Briana learns that she was the target of trash talk. Meanwhile, the ladies' bodies and tempers burn red hot on the set of Tonya's Little Boss Workout video and their bad attitudes threaten to shut the project down.",N/A,N/A,N/A,N/A,6,tt5069986,N/A
Off to the Races,2015,TV-14,40 min,Reality-TV,N/A,Ashley Hulse,"Todd Gibel, Terra Jolé",A break in Christy's fertility treatments gives her the opportunity to seek medical advice for her excruciating neck pain.,N/A,N/A,N/A,N/A,6,tt5069994,N/A
Rising Tides,2016,N/A,89 min,Documentary,"J. Lazarus Auerbach, Scott Duthie","J. Lazarus Auerbach, Michele Loschiavo, Holly Vogler","Gary Appelson, J. Lazarus Auerbach, Kannon Auerbach","Hurricane Katrina. Hurricane Sandy. The increasing frequency of such devastating weather events demonstrates the realities of climate change and rising seas. For many coastal communities the impacts will be devastating. They have been fighting against vanishing coastlines for years with mixed results; often having no choice but to abandon properties and move buildings. Adding to this conversation are the conservationists and scientists who feel the coastlines should be left alone for a multitude of different reasons. Rising Tides explores the topic of coastline erosion, showing what has been done in the past, what is being done now, what worked, what didn't and what the coastal areas can expect in the future. Through interviews with scientists, experts, nonprofits, homeowners, government officials, and other groups offering possible solutions, Rising Tides covers all angles of this life-threatening issue. This award winning documentary offers an interesting and educational perspective so that the viewer can decide what should or should not be done to combat this global threat in our very near future.",English,"United States, France, Philippines",2 wins & 1 nomination,6.9,28,tt5069996,N/A
Bachelorette or Bust,2015,TV-14,42 min,Reality-TV,N/A,Ashley Hulse,"Todd Gibel, Terra Jolé","The women bust out the bikinis and booze to celebrate Elena's upcoming vow renewal with the bachelorette party she never had. As the girls play steamy bachelorette party games, Brittney surprises the girls when she breaks down ove...",N/A,N/A,N/A,N/A,6,tt5070000,N/A
Truth and Lies,2015,TV-14,41 min,Reality-TV,N/A,Ashley Hulse,"Todd Gibel, Terra Jolé","After Briana's surprise announcement in Palm Springs, the women are hurt by the amount of lying Briana's been doing. Can they ever be the close friends they used to be? Meanwhile, vow renewal planning is in full swing, and Elena n...",N/A,N/A,N/A,N/A,7,tt5070002,N/A
